_Rez_Discourse#,_Rez_DiscoID,DiscourseID,Title,LDCpart,AlphaOrder,LineCount,WordCount,TokenCount,SpeakerCount,SpeakerPercentMax,MediaFileOriginal,_Rez_MediaFile,TapeID,Genre,Description
21,SBC021,SBC021,Fear,2,15,,,,,,SBC021.wav,SBC021.ogg,588,sermon,"A segment from a rather lively sermon recorded in Boston, Massachusetts."
22,SBC022,SBC022,Runway Heading,2,40,,,,,,SBC022.wav,SBC022.ogg,595,conversation,"Task-related interaction, recorded in an air traffic control tower in Portland, Oregon. Lance is training to be an air traffic controller, and has just finished working a shift. Randy, an experienced controller, is giving Lance feedback/briefing on his performance on that shift."
23,SBC023,SBC023,Howards End,2,24,,,,,,SBC023.wav,SBC023.ogg,730,conversation,"A segment from a book discussion group, recorded in Topeka, Kansas. The eleven participants are all women between the ages of 46 and 85."
24,SBC024,SBC024,Risk,2,39,,,,,,SBC024.wav,SBC024.ogg,761,conversation,"This segment consists of game-playing and game-teaching on a computer, and was recorded near Cape Cod, Massachusetts. Jennifer and Dan are a couple in their early twenties."
25,SBC025,SBC025,The Egg Which Luther Hatched,2,14,,,,,,SBC025.wav,SBC025.ogg,796,lecture,"This is a segment from a lecture on the history and theology of Martin Luther, part of an evening class held at a church, recorded in Delaware."
26,SBC026,SBC026,Hundred Million Dollars,2,25,,,,,,SBC026.wav,SBC026.ogg,987,meeting,"This is a city meeting, recorded in Chicago, Illinois. City officials interact with the public about a government grant which is being applied for, to fund community development. The city can only apply once, so are soliciting applications from various organizations and will submit the one they judge as best."
27,SBC027,SBC027,Atoms Hanging Out,2,5,,,,,,SBC027.wav,SBC027.ogg,1016,lecture,"An entertaining science lecture and demonstration, recorded at a large public science museum in Chicago, Illinois."
28,SBC028,SBC028,Hey Cutie-Pie,2,22,,,,,,SBC028.wav,SBC028.ogg,1019,conversation,"A very intimate long-distance telephone conversation between a romantic couple in their early twenties, which took place between Pennsylvania and California."
29,SBC029,SBC029,Ancient Furnace,2,3,,,,,,SBC029.wav,SBC029.ogg,751,task talk,"This is a business conversation recorded in Northern California between Seth and Larry, who are meeting for the first time. Seth works as an engineer who designs, installs, and sells heating and air conditioning units. Larry has invited him to his home to give him an estimate."
30,SBC030,SBC030,Vision,2,54,,,,,,SBC030.wav,SBC030.ogg,590,sermon,"A segment from a sermon, recorded at a large Baptist church in Chicago, Illinois."
31,SBC031,SBC031,Tastes Very Special,3,45,,,,,,SBC031.wav,SBC031.ogg,503,conversation,"Face-to-face conversation recorded in a restaurant in Pullman, Washington. Sherry and Beth are sisters (in their late twenties), and Rosemary is their mother. The participants discuss what to order for lunch, interact with the waitress (Jamie) and engage in talk about family and friends while waiting for their food."
32,SBC032,SBC032,Handshakes All Around,3,20,,,,,,SBC032.wav,SBC032.ogg,754,conversation,"A face-to-face conversation that takes place at an outdoor neighborhood 'block party' in Santa Fe, New Mexico. The three main participants are neighbors, age 60 and upward, all of whom happen to be named Tom. Discussion centers on life histories, World War II experiences, and neighborhood gossip. The three are briefly joined by Tucker (the daughter of Tom_1), and Elaine (the wife of Tom_3)."
33,SBC033,SBC033,Guilt,3,19,,,,,,SBC033.wav,SBC033.ogg,759,conversation,"A lively family argument/discussion recorded at a vacation home in Falmouth, Massachusetts. There are eight participants, all relatives or close friends. Discussion centers around a disagreement Jennifer (age 23) is having with her mother (Lisbeth)."
34,SBC034,SBC034,What Time is it Now?,3,56,,,,,,SBC034.wav,SBC034.ogg,767,conversation,"A late-night face-to-face conversation recorded in Northampton, Massachusetts. Participants are a married couple (Karen and Scott) in their early twenties. Karen has just returned home from work, and the two are talking while winding down for the evening."
35,SBC035,SBC035,Hold My Breath,3,23,,,,,,SBC035.wav,SBC035.ogg,771,conversation,"Lively family argument/discussion recorded in the kitchen of a family home in Pittsburgh, Pennsylvania."
36,SBC036,SBC036,Judgmental on People,3,27,,,,,,SBC036.wav,SBC036.ogg,942,conversation,"Face-to-face conversation recorded in Albuquerque, New Mexico. There are three participants and a baby. Lisa and Kevin are siblings, Marie (the baby's mother) is a friend of Lisa's. Much of the speech event focuses on interaction with, and talk about, the baby, as well as gossip about friends and co-workers."
37,SBC037,SBC037,Very Good Tamales,3,52,,,,,,SBC037.wav,SBC037.ogg,962,task talk,"Informal, task-related (cooking) talk recorded in the kitchen of a family home in Corpus Christi, Texas. A family is making tamales. Main participants are Julia (an 80-year-old woman), her daughter (Dolores), and grandson (Shane). They are briefly joined by Kate (Shane's sister) who is watching TV in another room. The segment contains occasional codeswitching (English/Spanish)."
38,SBC038,SBC038,Good Strong Dam,3,18,,,,,,SBC038.wav,SBC038.ogg,972,tour,"This segment is part of a tour of Hoover Dam, on the Nevada-Arizona border. The presentation is highly practiced. The main speaker also answers audience questions."
39,SBC039,SBC039,Pretty Busy Bird,3,37,,,,,,SBC039.wav,SBC039.ogg,1003,task talk,"Task-related talk, a training meeting recorded at an aquarium in Chicago, Illinois."
40,SBC040,SBC040,Beaten on a Regular Basis,3,7,,,,,,SBC040.wav,SBC040.ogg,1043,tour,Scripted tour of the Kentucky Horse Park / Museum. Presenter also addresses questions from the audience.
41,SBC041,SBC041,X Units of Insulin,3,58,,,,,,SBC041.wav,SBC041.ogg,1047,task talk,Medical interaction recorded in Southern California. A patient (Paige) is consulting with her dietician (Kristen) regarding management of diabetes.
42,SBC042,SBC042,Stay Out of It,3,42,,,,,,SBC042.wav,SBC042.ogg,1362,conversation,"Family argument and task-related talk, recorded in Pasco, Washington. The recording begins in a car, and moves to the kitchen of a family home. Main participants are three teenage sisters (Sabrina, Kendra, and Marlena), their mother (Kitty), and step-father (Curt). A friend of Sabrina's (Gemini) is also present. The dispute centers around Kitty's belief that Kendra stayed the night at a friend's house without permission, something which Kendra denies having done. Argument and shouting is interspersed with Saturday-morning housekeeping chores such as doing dishes and laundry."
43,SBC043,SBC043,Try a Couple Spoonfuls,3,51,,,,,,SBC043.wav,SBC043.ogg,1441,conversation,"Face-to-face conversation recorded in the living room of a private home in Boise, Idaho, between Alice (a nurse, age 49) and her daughter Annette (a student and bank employee, age 24). Topics center mostly on their work day, as well as mutual acquaintances."
44,SBC044,SBC044,He Knows,3,21,,,,,,SBC044.wav,SBC044.ogg,1457,conversation,"Face-to-face conversation recorded in the living room of a private home in Milwaukee, Wisconsin. Two friends (Cam and Lajuan) are talking about their families and friends, and their own experiences as gay men."
45,SBC045,SBC045,The Classic Hooker,3,9,,,,,,SBC045.wav,SBC045.ogg,1505,conversation,"Face-to-face conversation recorded in the living room of an apartment in Milwaukee, Wisconsin. Two friends (Corinna and Patrick) are talking and watching TV. Topics are at times rather raunchy."
46,SBC046,SBC046,Flumpity-Bump Down the Hill,3,16,,,,,,SBC046.wav,SBC046.ogg,1550,task talk,"Medical interaction, recorded in Shreveport, Louisiana. A patient (Darren) is consulting with his orthopedist (Reed) regarding a knee injury from a recent skiing accident."
47,SBC047,SBC047,On the Lot,4,36,,,,,,SBC047.wav,SBC047.ogg,404,conversation,"Face-to-face conversation between two cousins (Fred and Richard) in their early thirties, recorded in a private home in east Los Angeles, California. Topics include Richard's new job selling cars, Fred's frustration with factory work, and Richard's recent breakup with his girlfriend."
48,SBC048,SBC048,Mickey Mouse Watch,4,32,,,,,,SBC048.wav,SBC048.ogg,549,conversation,"Christmas morning traditions and gift-exchange among family members, recorded in Fresno, California. Tim and Lea are a couple in their late fifties, Judy is their daughter, and Dan is Judy's boyfriend."
49,SBC049,SBC049,Noise Pollution,4,34,,,,,,SBC049.wav,SBC049.ogg,661,conversation,"Face-to-face conversation recorded at an outdoor family birthday party near Boston, Massachusetts. There are ten speakers, all related. Four siblings in their mid thirties to mid forties: Dan, Al, Lucy, and Annette. Allen (Sr.), age 76, is their father. Al and Annette are twins. Linda is Al's wife, John is Annette's husband. Dave and Jane are Al and Linda's children. Glen is Lucy's son. Topics center primarily on recent renovations to Lucy's home."
50,SBC050,SBC050,Just Wanna Hang,4,28,,,,,,SBC050.wav,SBC050.ogg,762,conversation,"Face-to-face conversation among four roommates, recorded in a shared apartment in Burlington, Vermont. Speakers are all students at the University of Vermont, women ages 20-21. Speakers engage in small-talk, make plans for the evening, and discuss household matters."
51,SBC051,SBC051,New Yorkers Anonymous,4,33,,,,,,SBC051.wav,SBC051.ogg,770,conversation,"Conversation recorded before and during dinner, in a private home in Laguna Beach, California. There are four speakers, ranging in age from mid forties to early fifties. Sean and Bernard are a couple, Fran is a long-time friend visiting from New York. Alice is also a friend of Sean and Bernard, but had never met Fran. Discussion focuses on travels, and reminiscing about New York City."
52,SBC052,SBC052,Oh You Need a Breadbox,4,35,,,,,,SBC052.wav,SBC052.ogg,952,conversation,"Phone conversation between family members at Christmas. Andrew and Cindy, a couple in their mid forties in Albuquerque, NM, are calling Andrew's sisters in San Antonio, Texas. Discussion centers primarily on Christmas and Christmas gifts, and topics prompted by recent television news shows."
53,SBC053,SBC053,I Will Appeal,4,26,,,,,,SBC053.wav,SBC053.ogg,988,trial,"Task-related talk recorded in a small claims court in Santa Barbara, California. This segment consists of a judge pro tem hearing and deciding two cases."
54,SBC054,SBC054,"That's Good, Said Tiger",4,47,,,,,,SBC054.wav,SBC054.ogg,1011,storytelling,"Public storytelling event recorded after a church potluck in Chicago, Illinois. The speaker, a professional storyteller in her mid forties, tells several stories and interacts with the audience."
55,SBC055,SBC055,The Mama of Dada,4,31,,,,,,SBC055.wav,SBC055.ogg,1024,lecture,"Public lecture/forum in Santa Barbara, California. Noted artist and ceramist Beatrice Wood gives a public lecture at the Santa Barbra Museum of Art, shortly after her 101st birthday. Wood talks about her life and answers audience questions."
56,SBC056,SBC056,What is a Brand Inspection?,4,55,,,,,,SBC056.wav,SBC056.ogg,1036,conversation,"Face-to-face conversation recorded on a ranch near Colorado Springs, Colorado. Julie has recently bought a pony from Gary's wife, and is giving him a bill-of-sale. She then gives a brief tour of her property and barn."
57,SBC057,SBC057,Throw Me,4,49,,,,,,SBC057.wav,SBC057.ogg,1079,task talk,"Task-related talk, a recording of a judo class in Shreveport, Louisiana. The five students and their instructor are males between the ages of 22 and 37. The instructor is demonstrating and coaching the Hane-Makikomi throw, which students are practicing with varying degrees of success."
58,SBC058,SBC058,Swingin' Kid,4,43,,,,,,SBC058.wav,SBC058.ogg,1444,conversation,"Face-to-face conversation recorded in a private home in Boise, Idaho. Sheri, a single mom in her mid thirties, and her son Steven (age 11) talk while Sheri prepares dinner."
59,SBC059,SBC059,You Baked,4,59,,,,,,SBC059.wav,SBC059.ogg,,conversation,"Face-to-face conversation, recorded in a family home near Beloit, Wisconsin on Christmas Eve. Cam and Fred are a couple in their early thirties. Jo and Wess are Cam's parents. Topics include talk about family and friends, a football game which Wess and Fred had just finished watching, and holiday baking."
60,SBC060,SBC060,Shaggy Dog Story,4,41,,,,,,SBC060.wav,SBC060.ogg,1540,conversation,"Face-to-face casual conversation recorded in an office in Shreveport, Louisiana. The two speakers, Jon (age 72) and Alan (age 66) are friends/co-workers taking a break from work. Alan is primarily telling Jon about his travel adventures and interests."
